dates,I,Total
28/02/2020,0,0
29/02/2020,0,0
01/03/2020,0,0
02/03/2020,0,0
03/03/2020,0,0
04/03/2020,0,0
05/03/2020,0,0
06/03/2020,0,0
07/03/2020,0,0
08/03/2020,0,0
09/03/2020,0,0
10/03/2020,0,0
11/03/2020,0,0
12/03/2020,0,0
13/03/2020,0,0
14/03/2020,0,0
15/03/2020,0,0
16/03/2020,0,0
17/03/2020,0,0
18/03/2020,0,0
19/03/2020,0,0
20/03/2020,0,0
21/03/2020,0,0
22/03/2020,0,0
23/03/2020,0,0
24/03/2020,10,10
25/03/2020,2,12
26/03/2020,0,12
27/03/2020,0,12
28/03/2020,0,12
29/03/2020,0,12
30/03/2020,1,13
31/03/2020,2,15
01/04/2020,2,17
02/04/2020,0,17
03/04/2020,2,19
04/04/2020,0,19
05/04/2020,0,19
06/04/2020,2,21
07/04/2020,1,22
08/04/2020,0,22
09/04/2020,0,22
10/04/2020,0,22
11/04/2020,1,23
12/04/2020,0,23
13/04/2020,1,24
14/04/2020,1,25
15/04/2020,1,26
16/04/2020,1,27
17/04/2020,1,28
18/04/2020,0,28
19/04/2020,0,28
20/04/2020,0,28
21/04/2020,0,28
22/04/2020,3,31
23/04/2020,1,32
24/04/2020,0,32
25/04/2020,0,32
26/04/2020,0,32
27/04/2020,1,33
28/04/2020,0,33
29/04/2020,1,34
30/04/2020,0,34
01/05/2020,1,35
02/05/2020,1,36
03/05/2020,0,36
04/05/2020,0,36
05/05/2020,0,36
06/05/2020,0,36
07/05/2020,0,36
08/05/2020,1,37
09/05/2020,0,37
10/05/2020,0,37
11/05/2020,0,37
12/05/2020,0,37
13/05/2020,2,39
14/05/2020,1,40
15/05/2020,0,40
16/05/2020,2,42
17/05/2020,0,42
18/05/2020,0,42
19/05/2020,0,42
20/05/2020,0,42
21/05/2020,1,43
22/05/2020,1,44
23/05/2020,0,44
24/05/2020,0,44
25/05/2020,2,46
26/05/2020,0,46
27/05/2020,1,47
28/05/2020,2,49
29/05/2020,1,50
30/05/2020,2,52
31/05/2020,0,52
01/06/2020,0,52
02/06/2020,0,52
03/06/2020,0,52
04/06/2020,1,53
05/06/2020,1,54
06/06/2020,0,54
07/06/2020,0,54
08/06/2020,1,55
09/06/2020,2,57
10/06/2020,0,57
11/06/2020,0,57
12/06/2020,1,58
13/06/2020,0,58
14/06/2020,4,62
15/06/2020,3,65
16/06/2020,1,66
17/06/2020,1,67
18/06/2020,0,67
19/06/2020,3,70
20/06/2020,0,70
21/06/2020,3,73
22/06/2020,1,74
23/06/2020,3,77
24/06/2020,3,80
25/06/2020,5,85
26/06/2020,1,86
27/06/2020,3,89
28/06/2020,3,92
29/06/2020,5,97
30/06/2020,0,97
01/07/2020,3,100
02/07/2020,3,103
03/07/2020,2,105
04/07/2020,8,113
05/07/2020,5,118
06/07/2020,2,120
07/07/2020,3,123
08/07/2020,0,123
09/07/2020,7,130
10/07/2020,2,132
11/07/2020,6,138
12/07/2020,2,140
13/07/2020,2,142
14/07/2020,3,145
15/07/2020,2,147
16/07/2020,1,148
17/07/2020,2,150
18/07/2020,3,153
19/07/2020,1,154
20/07/2020,5,159
21/07/2020,7,166
22/07/2020,2,168
23/07/2020,1,169
24/07/2020,1,170
25/07/2020,1,171
26/07/2020,0,171
27/07/2020,3,174
28/07/2020,2,176
29/07/2020,1,177
30/07/2020,4,181
31/07/2020,3,184
01/08/2020,0,184
02/08/2020,3,187
03/08/2020,5,192
04/08/2020,2,194
05/08/2020,6,200
06/08/2020,10,210
07/08/2020,10,220
08/08/2020,6,226
09/08/2020,10,236
10/08/2020,5,241
11/08/2020,5,246
12/08/2020,8,254
13/08/2020,8,262
14/08/2020,6,268
15/08/2020,6,274
16/08/2020,3,277
17/08/2020,6,283
18/08/2020,3,286
19/08/2020,8,294
20/08/2020,12,306
21/08/2020,10,316
22/08/2020,4,320
23/08/2020,4,324
24/08/2020,1,325
25/08/2020,6,331
26/08/2020,3,334
27/08/2020,7,341
28/08/2020,5,346
29/08/2020,2,348
30/08/2020,5,353
31/08/2020,3,356
01/09/2020,5,361
02/09/2020,3,364
03/09/2020,2,366
04/09/2020,2,368
05/09/2020,8,376
06/09/2020,2,378
07/09/2020,5,383
08/09/2020,3,386
09/09/2020,4,390
10/09/2020,2,392
11/09/2020,3,395
12/09/2020,1,396
13/09/2020,2,398
14/09/2020,1,399
15/09/2020,4,403
16/09/2020,1,404
17/09/2020,3,407
18/09/2020,6,413
19/09/2020,4,417
20/09/2020,1,418
21/09/2020,0,418
22/09/2020,2,420
23/09/2020,1,421
24/09/2020,1,422
25/09/2020,3,425
26/09/2020,4,429
27/09/2020,0,429
28/09/2020,8,437
29/09/2020,0,437
30/09/2020,1,438
01/10/2020,1,439
02/10/2020,4,443
03/10/2020,0,443
04/10/2020,3,446
05/10/2020,1,447
06/10/2020,0,447
07/10/2020,2,449
08/10/2020,5,454
09/10/2020,0,454
10/10/2020,2,456
11/10/2020,2,458
12/10/2020,0,458
13/10/2020,0,458
14/10/2020,1,459
15/10/2020,2,461
16/10/2020,1,462
17/10/2020,5,467
18/10/2020,0,467
19/10/2020,2,469
20/10/2020,0,469
21/10/2020,0,469
22/10/2020,2,471
23/10/2020,1,472
24/10/2020,1,473
25/10/2020,2,475
26/10/2020,2,477
27/10/2020,4,481
28/10/2020,7,488
29/10/2020,2,490
30/10/2020,3,493
31/10/2020,7,500
01/11/2020,2,502
02/11/2020,5,507
03/11/2020,1,508
04/11/2020,3,511
05/11/2020,4,515
06/11/2020,4,519
07/11/2020,7,526
08/11/2020,1,527
09/11/2020,6,533
10/11/2020,3,536
11/11/2020,12,548
12/11/2020,5,553
13/11/2020,6,559
14/11/2020,7,566
15/11/2020,9,575
16/11/2020,11,586
17/11/2020,9,595
18/11/2020,10,605
19/11/2020,4,609
20/11/2020,7,616
21/11/2020,6,622
22/11/2020,4,626
23/11/2020,12,638
24/11/2020,6,644
25/11/2020,6,650
26/11/2020,11,661
27/11/2020,4,665
28/11/2020,9,674
29/11/2020,9,683
30/11/2020,10,693
01/12/2020,3,696
02/12/2020,14,710
03/12/2020,16,726
04/12/2020,20,746
05/12/2020,17,763
06/12/2020,5,768
07/12/2020,19,787
08/12/2020,12,799
09/12/2020,9,808
10/12/2020,17,825
11/12/2020,18,843
12/12/2020,21,864
13/12/2020,9,873
14/12/2020,22,895
15/12/2020,17,912
16/12/2020,21,933
17/12/2020,15,948
18/12/2020,20,968
19/12/2020,24,992
20/12/2020,24,1016
21/12/2020,22,1038
22/12/2020,18,1056
23/12/2020,14,1070
24/12/2020,15,1085
25/12/2020,18,1103
26/12/2020,20,1123
27/12/2020,22,1145
28/12/2020,14,1159
29/12/2020,30,1189
30/12/2020,34,1223
31/12/2020,31,1254
01/01/2021,27,1281
02/01/2021,11,1292
03/01/2021,37,1329
04/01/2021,18,1347
05/01/2021,26,1373
06/01/2021,42,1415
07/01/2021,67,1482
08/01/2021,37,1519
09/01/2021,38,1557
10/01/2021,31,1588
11/01/2021,29,1617
12/01/2021,37,1654
13/01/2021,23,1677
14/01/2021,33,1710
15/01/2021,47,1757
16/01/2021,48,1805
17/01/2021,20,1825
18/01/2021,17,1842
19/01/2021,28,1870
20/01/2021,19,1889
21/01/2021,15,1904
22/01/2021,21,1925
23/01/2021,16,1941
24/01/2021,2,1943
25/01/2021,7,1950
26/01/2021,8,1958
27/01/2021,14,1972
28/01/2021,9,1981
29/01/2021,23,2004
30/01/2021,4,2008
31/01/2021,0,2008
